Published_date,Bid_closing_date,Tender_opening_date,Title,Organisation,Value
29-Aug-2023 04:15 PM,12-Sep-2023 01:00 PM,13-Sep-2023 01:00 PM,[Selection of Backend partner for SITC and Operation and Maintenance of ISMS along with ICCC with IT infrastructure.] [TCIL/ITTII/318/2023][2023_TCIL_166042_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Consulting Department - TCIL,NA
29-Aug-2023 04:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[E-TENDER for Leasing-in OFC Dark Fibre for AirForce Sheva from Panvel OFC Station to MTNL Cable Joint at Latitude 18.9132420478 and Longitude 72.9833099553 near Sheva Air Force Station ] [NIT-18/CNTXW/MBI/Sheva AF /FibreHiring/2023-24 ][2023_BSNL_166029_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane","12,60,000"
29-Aug-2023 04:00 PM,12-Sep-2023 06:00 PM,15-Sep-2023 11:00 AM,[Periodical Service of Admin Block (Buld. No.-24) and Stationary Godown inside factory at VFJ.] [RD-2304/VFJ][2023_AVNL_161859_1],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,"73,92,880"
29-Aug-2023 03:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Renovation work at CMC Library Annexe building in CSIR Campus] [480 (395)/2022-23/CW/EW][2023_CSIR_165883_1],Council of Scientific and Industrial Research||CSIR Madras Complex-Chennai||ESD-CSIR MADRAS Cx. - CSIR,"23,03,000"
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[AMC of Basic Plan for ISQ QD Single Quandrup] [Pur/5/23-24/262/AMC/AB/LSPD][2023_CSIR_166003_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR,NA
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[Annual Maintenance contract for the Institute Buildings including civil, carpentry, Sanitary etc at CSIR-NIO, Dona Paula, Goa] [20/49/2023-Wks][2023_CSIR_165955_1]",Council of Scientific and Industrial Research||NIO-Goa - CSIR||ESD-NIO - CSIR,"57,57,793"
29-Aug-2023 03:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:00 PM,[Supply and Installation of Carbonation Chamber] [CBRI/PB-1(3)/23][2023_CSIR_166006_1],Council of Scientific and Industrial Research||CBRI-Roorkee - CSIR||Purchase-CBRI - CSIR,NA
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:30 PM,"[SITC of Fire Fighting and Fire Protection System at DG-1 Building of CSIR - IGIB, Mathura Road, Delhi - 110025] [IGIB/SC/DG-1/SITC of Fire System/2023-24][2023_CSIR_163764_1]",Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||ESD-IGIB - CSIR,"67,53,181"
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:30 PM,"[Up gradation of STP and WTP Plant at CSIR-IGIB, Mathura Road and Mall Road Campuses] [IGIB/ Up gradation/STP-WTP/ Plant/2023-2024][2023_CSIR_164484_1]",Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||ESD-IGIB - CSIR,"19,81,106"
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[AMC for Agilent Instruments-GC-HPLC] [Pur/5/23-24/386/AMCGC/VBP/UWRD][2023_CSIR_165978_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR,NA
29-Aug-2023 03:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[PUR/4/23-24/355/CMSD/SLJ/PO] [PUR/4/23-24/355/CMSD/SLJ/PO][2023_CSIR_165903_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR,NA
29-Aug-2023 02:50 PM,12-Oct-2023 02:00 PM,13-Oct-2023 02:00 PM,[DC/B378-000-YC-MR-1451/521] [DC/B378-000-YC-MR-1451/521][2023_GAIL_165367_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,NA
29-Aug-2023 02:30 PM,13-Sep-2023 02:30 PM,14-Sep-2023 03:00 PM,"[Periodical cleaning of water tanks by mechanized method at CLRI Institute, Adyar, Chennai-600020] [CLRI/5(1)/2023-24/Wks][2023_CSIR_156671_2]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||ESD-CLRI - CSIR,"2,55,786"
29-Aug-2023 02:30 PM,12-Sep-2023 02:30 PM,13-Sep-2023 03:00 PM,"[Providing wash basin along with water supply connection and other associated civil works at Tagore Ashram at CLRI, Adyar, Chennai-600020] [CLRI/4(1)/2023-24/Wks][2023_CSIR_165986_1]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||ESD-CLRI - CSIR,"2,83,739"
29-Aug-2023 02:00 PM,18-Sep-2023 02:00 PM,19-Sep-2023 03:00 PM,[PAINTING OF GAS PIPELINES AND VARIOUS STATIONERY EQUIPMENTS/STRUCTURES] [GAIL/HZR/CP/FL32C/MECH/23-24][2023_GAIL_165682_1],GAIL (India) Limited||GAIL India Limited- Hazira,NA
29-Aug-2023 02:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,"[Supply of Gear Box Spares On Door Delivery Basis at HBL Plant, Sugauli, East Champaran.] [HBL/TEN/PUB/23-24/202][2023_HPCLB_166017_1]",HPCL Biofuels Limited||Purchase (Patna),NA
29-Aug-2023 02:00 PM,20-Sep-2023 01:00 PM,21-Sep-2023 02:00 PM,"[PROCUREMENT OF MOLECULAR SIEVES FOR GAIL (INDIA) LIMITED, GAS PROCESSING UNIT, GANDHAR ] [GAIL/GDR/LPG/CNP/OPSN/2K2301][2023_GAIL_165623_1]",GAIL (India) Limited||GAIL India Limited- Gandhar,NA
29-Aug-2023 02:00 PM,19-Sep-2023 02:00 PM,20-Sep-2023 02:00 PM,"[Patch works in Bhagirathipuram-Ghansali, Ghansali-Rajakhet, Tipri-Anjanisen OFC route] [CNNCO-17/11/64/2023-DD/T-295][2023_BSNL_165967_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun,"40,69,200"
29-Aug-2023 01:30 PM,18-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,"[Job based work for Watch and Ward of BSNL Telecom Installations, Offices, Buildings, Store Depots and Premises in Sindhudurg SSA] [KTD/TP-III/31/129-C/JOB Based/SNDG][2023_BSNL_165866_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur","18,42,120"
29-Aug-2023 12:30 PM,13-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,[Annual Rate contract for cartridges of Printers for 01 year] [AAI/MUM/CNS/2023-24/01][2023_AAI_165934_1],Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||CNS-WR - AAI,"22,13,723"
29-Aug-2023 12:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[18/RKS/AMC/382/2023-PB/T-93] [18/RKS/AMC/382/2023-PB/T-93][2023_CSIR_165794_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||Purchase-NPL - CSIR,NA
29-Aug-2023 12:00 PM,11-Sep-2023 02:00 PM,12-Sep-2023 02:30 PM,[Spares for UHPLC with Accessories] [CFTRI/82385/23-24/2][2023_CSIR_165872_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,NA
29-Aug-2023 12:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[Procurement of Insulated Glass Cable at Bokajan Cement Factory of CCI] [BKJ/MM/ E-4202/23-24][2023_CCI_165985_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,NA
29-Aug-2023 11:30 AM,12-Sep-2023 05:30 PM,13-Sep-2023 05:30 PM,[Comprehensive annual maintenance contract of Stulz CHSPL air cooled precision air conditioning units installed at special equipment buildings of Jankipuram campus CDRI for the year 2023 24] [2/15/2023-Engg.][2023_CSIR_165984_1],Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||ESD-CDRI - CSIR,"11,58,170"
29-Aug-2023 11:00 AM,08-Nov-2023 03:00 PM,09-Nov-2023 03:00 PM,[Licensing of space for advertising media on median grills of N-S Corridor of Uttar Pradesh Metro Rail Network in Lucknow. ] [LKAR-06][2023_UPMRC_165626_1],Uttar Pradesh Metro Rail Corporation Limited||Contract Cell - UPMRCL,NA
29-Aug-2023 11:00 AM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[Procurement of Current Collector Block at Bokajan Cement Factory of CCI] [BKJ/MM/E-4209/23-24][2023_CCI_165949_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,NA
29-Aug-2023 10:00 AM,12-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,[NIB No. 07/2023 dated 28.08.2023] [NIB_07/2023 dated 28.08.2023][2023_NEEPC_165951_1],North Eastern Electric Power Corporation Limited||Tripura Gas Based Combined Cycle Power Plant-Tripura - NEEPCO||Civil Wing-TGBCCPP - NEEPCO,NA
29-Aug-2023 10:00 AM,04-Oct-2023 03:00 PM,05-Oct-2023 03:30 PM,[CECRI 2023 11786-AUTOMATIC SMALL PUNCH TESTING SYSTEM WITH ACCESSORIES] [CECRI 2023 11786-AUTOMATIC SMALL PUNCH TESTING S/M][2023_CSIR_165957_1],Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||Purchase-CECRI - CSIR,NA
29-Aug-2023 10:00 AM,18-Sep-2023 05:00 PM,20-Sep-2023 09:00 AM,[REPAIRS TO FLOORING OF BLDG. NO. 409 OF B SECTION AND BLDG NO 407 AND 411 OF L1 SECTION INSIDE FACTORY AT AFK] [GM/AFK/EO/DC/994-R/2023-24][2023_MIL_165950_1],Munitions India Limited||Ammunition Factory Khadki Pune Maharashtra,"59,62,850"
29-Aug-2023 09:00 AM,12-Sep-2023 12:00 PM,13-Sep-2023 12:30 PM,[Rate Contract for the work of Comprehensive maintenance of various capacity DEA sets at various Sites under BSNL Electrical Division Ludhiana PhaseI] [14/EE/E/BSNL/ED/CHD/2023-24][2023_BSNL_165976_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Punjab Telecom Circle||CE (Electrical),NA
29-Aug-2023 09:00 AM,12-Sep-2023 12:00 PM,13-Sep-2023 12:30 PM,[Rate Contract for the work of Comprehensive maintenance of various capacity DEA sets at various Sites under BSNL Electrical Division Amritsar PhaseI] [13/EE/E/BSNL/ED/CHD/2023-24 ][2023_BSNL_165975_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Punjab Telecom Circle||CE (Electrical),NA
29-Aug-2023 09:00 AM,12-Sep-2023 12:00 PM,13-Sep-2023 12:30 PM,[Rate Contract for the work of Comprehensive maintenance of various capacity DEA sets at various Sites under BSNL Electrical Division Jalandhar PhaseI] [15/EE/E/BSNL/ED/CHD/2023-24][2023_BSNL_165977_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Punjab Telecom Circle||CE (Electrical),NA
28-Aug-2023 06:55 PM,19-Sep-2023 06:00 PM,21-Sep-2023 11:30 AM,"[Repairing of cracks and spall edges of joints, Resurfacing of pavement and joint filling of Apron/Taxi/Isolation at LBSI Airport, Varanasi] [AAI/VNS/ENGG/Joint Filling/eNIT-104][2023_AAI_165709_1]",Airports Authority of India||Northern Region - AAI||VARANASI - AAI||ENGG CIVIL-VARANASI - AAI,"62,88,000"
28-Aug-2023 06:50 PM,20-Sep-2023 02:00 PM,21-Sep-2023 03:00 PM,[HIRING OF AGENCY FOR LAYING OF UNDERGROUND PE PIPELINES WORKS AND PROVIDING LMC FROM EXISTING CHARGED PE PIPELINES FOR EXISTING INFRASTRUCTURE OF DPNG CONNECTIONS FOR CGD PROJECTS Ms GAIL Gas Limited] [05/51/23VS-VU-VV/GAIL Gas/001-ii-02][2023_GAILG_165393_1],GAIL Gas Limited||EPMC - GAIL Gas Ltd. Noida||Contract and Procurement - EPMC Noida,NA
28-Aug-2023 06:50 PM,20-Sep-2023 02:00 PM,21-Sep-2023 03:00 PM,[HIRING OF AGENCY FOR LAYING OF UNDERGROUND PE PIPELINES WORKS AND PROVIDING LMC FROM EXISTING CHARGED PE PIPELINES FOR EXISTING INFRASTRUCTURE OF DPNG CONNECTIONS FOR CGD PROJECTS Ms GAIL Gas Limited] [05/51/23VS-VU-VV/GAIL Gas/001-ii-02][2023_GAILG_165393_1],GAIL Gas Limited||EPMC - GAIL Gas Ltd. Noida||Contract and Procurement - EPMC Noida,NA
28-Aug-2023 06:45 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,[AMC along with RE for LAN Network ] [IGSTPP/CS/23-24/CRN-4023][2023_APCPL_165876_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,NA
28-Aug-2023 06:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 12:00 PM,[Installation and Dismantling of Battery Banks in BSNL Dumka OA under Dhanbad BA] [GMBA/DNB/BB Installation Dismantling/DMK OA/09][2023_BSNL_165973_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad","5,34,760"
28-Aug-2023 06:30 PM,12-Sep-2023 02:00 PM,13-Sep-2023 02:30 PM,[Round the clock operation of Utility Installation at NPL Colony (for 12 months)] [04/0256/2023 WS][2023_CSIR_165974_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||ESD-NPL - CSIR,"22,27,560"
28-Aug-2023 06:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Renewal of Subscription of NGFW appliances installed at HLL Offices and Supply of new NGFW appliance] [HLL/CHO/IT/UTM/2023][2023_HLL_165968_1],HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL||IT Department - HLL,NA
28-Aug-2023 06:00 PM,25-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,"[Construction of Permanent RCC Water Tank and Water Supply Distribution Line for A and B Type Permanent Buildings at Tuirial Hydro Power Station, Mizoram] [Tuirial HPS-06/2023][2023_NEEPC_165952_1]",North Eastern Electric Power Corporation Limited||Tuirial Hydro Electric Project-Mizoram - NEEPCO||DGM(Civil)-THEP - NEEPCO,NA
28-Aug-2023 06:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:15 AM,[Supply of pumps] [JPL CnM 2023-24 1100011816-789][2023_JPL_163623_2],Jhabua Power Ltd,NA
28-Aug-2023 06:00 PM,19-Sep-2023 11:00 AM,20-Sep-2023 11:00 AM,[Providing Tensile Fabric Canopy at Entrance/Main Gate as well as above Pathway Connecting Car parking and New Terminal Building at Bareilly Airport] [AAI/BLY/Engg. (C)/2023/Canopy][2023_AAI_165915_1],Airports Authority of India||Northern Region - AAI||JODHPUR - AAI||ENGG ELECT-JODHPUR - AAI,"1,11,62,065"
28-Aug-2023 06:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Licence for Travel Luggage Retail Outlet inside Domestic SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.] [AAI/ASR/COMML/RETAIL/2023/26][2023_AAI_165942_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"2,75,000"
28-Aug-2023 06:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Licence for Books and Toys Retail Outlet inside International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar. ] [AAI/ASR/COMML/RETAIL/2023/29][2023_AAI_165945_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"2,06,250"
28-Aug-2023 06:00 PM,12-Sep-2023 04:00 PM,15-Sep-2023 03:00 PM,[29/BSNL/CD-SLG/23-24 ] [ 29/BSNL/CD-SLG/23-24][2023_BSNL_165959_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Civil),NA
28-Aug-2023 06:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Rain Water Harvesting] [CSIR/IMTECH/RWH/23-24][2023_CSIR_165953_1],Council of Scientific and Industrial Research||IMT-Chandigarh - CSIR||ESD- IMT - CSIR,"18,72,365"
28-Aug-2023 06:00 PM,19-Sep-2023 11:00 AM,20-Sep-2023 12:00 PM,[For EOI (Expression of Interest) for Operation and Maintenance of BSNL CSCs of Category III in business area of Jaipur] [T-27/Cat-III/2023-24][2023_BSNL_165916_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT),0.00
28-Aug-2023 06:00 PM,12-Sep-2023 01:00 PM,13-Sep-2023 03:00 PM,[GMT/PLG/RMY/4G OFC tender1/2023-24/75 dtd 28/08/2023] [GMT/PLG/RMY/4G OFC tender1/2023-24/75 dtd 28082023][2023_BSNL_165937_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD East Godavari,"8,96,570"
28-Aug-2023 06:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Licence for Fragrances and Perfumes Retail Outlet inside Domestic SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.] [AAI/ASR/COMML/RETAIL/2023/27][2023_AAI_165943_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"1,78,750"
28-Aug-2023 06:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Licence for Apparels Retail Outlet inside International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.] [AAI/ASR/COMML/RETAIL/2023/30][2023_AAI_165946_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"2,75,000"
28-Aug-2023 06:00 PM,25-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,"[Construction of Permanent RCC Water Tank and Water Supply Distribution Line for A and B Type Permanent Buildings at Tuirial Hydro Power Station, Mizoram] [Tuirial HPS-06/2023][2023_NEEPC_165952_1]",North Eastern Electric Power Corporation Limited||Tuirial Hydro Electric Project-Mizoram - NEEPCO||DGM(Civil)-THEP - NEEPCO,NA
28-Aug-2023 06:00 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Licence for Travel Luggage Retail Outlet inside International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.] [AAI/ASR/COMML/RETAIL/2023/28][2023_AAI_165944_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"2,75,000"
28-Aug-2023 06:00 PM,12-Sep-2023 02:00 PM,12-Sep-2023 02:05 PM,[MCD/E-EM-III/Sh.(S)/23-24/12-1] [MCD/E-EM-III/Sh.(S)/23-24/12-1][2023_MCD_165956_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,NA
28-Aug-2023 06:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:15 AM,[Supply of pumps] [JPL CnM 2023-24 1100011816-789][2023_JPL_163623_2],Jhabua Power Ltd,NA
28-Aug-2023 06:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:00 PM,[T C for civil works at Zone C Textile and Store area inside factory at OEFC] [CW/TE/E-proc/04/OEF/EO/2023-24][2023_TCL_165730_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Kanpur UP,"15,00,000"
28-Aug-2023 06:00 PM,19-Sep-2023 06:00 PM,21-Sep-2023 12:00 PM,[Installation and Dismantling of Battery Banks in BSNL Dhanbad OA] [GMBA/DNB/BB Installation Dismantling/DNB OA/09][2023_BSNL_165767_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad","8,47,433"
28-Aug-2023 06:00 PM,18-Sep-2023 11:30 AM,19-Sep-2023 03:00 PM,[HYDRAULIC MOTOR] [3/PE220352/1][2023_UCIL_165604_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 3 - UCIL,NA
28-Aug-2023 05:45 PM,20-Sep-2023 11:30 AM,21-Sep-2023 11:30 AM,"[Design, Drawing, Supply, Erection, Testing and Commissioning of 25 kV OHE work,Modification of Existing 25 kV AC, 50Hz single phase OHE,Switching Post and SCADA works at Existing yard at Mungoli Nirguda Open Cast Mine of Wani Area for WCL] [RITES /GM /NGP /WCL /Mungoli /OHE / T-06-2023 ][2023_RITES_165892_1]",RITES Ltd.||RPO Nagpur - RITES,"15,13,56,498"
28-Aug-2023 05:00 PM,18-Sep-2023 05:00 PM,19-Sep-2023 05:00 PM,"[License to operate Money Exchange Counter at Dibrugarh Airport, Assam] [AAI/DIB/COMML/2023/MEC/ ][2023_AAI_165116_1]",Airports Authority of India||North East Region - AAI||DIBRUGARH - AAI||COMMERCIAL-VEMN - AAI,"2,000"
28-Aug-2023 05:00 PM,19-Sep-2023 06:00 PM,21-Sep-2023 11:00 AM,"[Construction of New RCC Antenna Tower near the existing old RCC Antenna Tower at MSSR, Porur, Chennai. SH Civil and Electrical works.] [AAI/SR/CH/Engg(C)/Tower/23-24/ ][2023_AAI_165368_1]",Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG CIVIL-SR - AAI,"3,94,53,000"
28-Aug-2023 05:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[EOI from Reputed Companies having Experience in Bridge and Road Construction are invited to associate as JV or Consortium or EPC partner for execution of Highway projects Tharad to Ahmedabad Bypass packages 01 to 05 in the state of Gujarat] [NHAI/ Tharad_Ahm_Exp /Pkg 01 to 05/EOI/08/23][2023_IRCON_165897_1],IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Business Development - IRCON,NA
28-Aug-2023 05:00 PM,18-Sep-2023 06:00 PM,20-Sep-2023 11:00 AM,"[Renovation of Toilets in ATS Complex and Engineering offices at DBAI Airport, Nagpur.] [AAI/NAGPUR/ENGG-C/W-06/2023-24][2023_AAI_165675_1]",Airports Authority of India||Western Region - AAI||NAGPUR - AAI||ENGG CIVIL-VANP - AAI,"25,98,210"
28-Aug-2023 04:45 PM,18-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Service Contract (One Year) for cleaning of RCC Roofs and gutters, Galvalume roofs and gutter, Storm water drain, water reservoirs and trimming of tree branches inside Engine Factory Avadi] [EFA/EO(C)/1278/E/TE/07/2023-24][2023_AVNL_165940_1]",Armoured Vehicles Nigam Limited||Engine Factory Avadi - Avadi,"72,37,530"
28-Aug-2023 04:30 PM,28-Sep-2023 12:00 PM,29-Sep-2023 12:15 PM,[Assisting the Boiler Personnel for smooth and efficient operation of Dust Preparation System.] [23-24/C-103/NIT-1344][2023_BPSCL_165850_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,"25,48,065"
28-Aug-2023 04:30 PM,28-Sep-2023 12:00 PM,29-Sep-2023 12:15 PM,[Assisting the Boiler Personnel for smooth and efficient operation of Dust Preparation System.] [23-24/C-103/NIT-1344][2023_BPSCL_165850_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,"25,48,065"
28-Aug-2023 04:15 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Turnkey works for setting up of New AMRIT Pharmacy at AIIMS Raipur, Chhattisgarh] [HLL/CHO/PROJ/RBD/AMRIT/RAIPUR][2023_HLL_164828_2]",HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL,"80,00,000"
28-Aug-2023 04:15 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Civil and Electrical work for the extension of AMRIT Pharmacy at AIIMS, Bibinagar, Telengana] [HLL/CHO/PROJ/RBD/AMRIT /BBNR][2023_HLL_164814_2]",HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL,NA
28-Aug-2023 04:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Deployment of CSD for dredging RD mouth and quay-3] [Deployment of CSD for dredging CSL RD and Quay-3][2023_CSL_165925_1],Cochin Shipyard Limited||HQ CSL (Kochi)||Civil - CSL,"98,95,050"
28-Aug-2023 04:00 PM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[SUPPLY OF SUGAR PROCESS CHEMICALS ON DOOR DELIVERY BASIS AT HBL SUGAULI AND LAURIYA PLANT.] [HBL/TEN/PUB/23-24/201][2023_HPCLB_165941_1],HPCL Biofuels Limited||Purchase (Patna),NA
28-Aug-2023 04:00 PM,12-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,"[Annual Contract for providing commercially licensed vehicles on day to day requirement basis at CSIR-Institute of Minerals and Materials Technology, Bhubaneswar-751013] [34/Transport/2023/01][2023_CSIR_165305_1]",Council of Scientific and Industrial Research||IMMT-Bhubaneswar - CSIR||Admin-IMMT - CSIR,"30,00,000"
28-Aug-2023 04:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Replacement of concrete water tank with PVC water tank of New Type-II qtrs. in Sec-I at VFJ.] [RD-2208/VFJ][2023_AVNL_155464_1],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,"14,10,071"
28-Aug-2023 03:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/24/A][2023_CSIR_165926_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,NA
28-Aug-2023 03:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[SERVICING TESTING AND TRIAL OF PROTECTIVE RELAYS AND PANELS] [HBL/TEN/PUB/23-24/200][2023_HPCLB_165929_1],HPCL Biofuels Limited||Purchase (Patna),NA
28-Aug-2023 03:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 03:00 PM,[Supply of Ropeway Fabricated and Casting Spares] [RCF/MM/58-73- 80(23)/ ][2023_CCI_165921_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI,NA
28-Aug-2023 03:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:30 PM,[Selection of partner for Design Implementation Integration and Maintenance of Access Control System IP based Surveillance Cameras at ICP Attari ] [TCIL/ITSC/66/2023][2023_TCIL_165918_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,NA
28-Aug-2023 02:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/18/A][2023_CSIR_165920_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,NA
28-Aug-2023 02:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Selection of Consultant for Providing Comprehensive Architectural and Engineering Consultancy Services for Construction of new OPD Building in premises of Vilasrao Deshmukh Government Medical Institute Latur Maharashtra] [TCIL/EOI/Latur/23-24/03][2023_TCIL_165910_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Civil BD - TCIL,"18,32,300"
28-Aug-2023 01:45 PM,16-Sep-2023 05:00 PM,18-Sep-2023 03:30 PM,[IRCON/2071/PKG-VIIIA] [IRCON/2071/JCRL/PKGVIIIA][2023_IRCON_165877_1],IRCON International Limited||Jharkhand - IRCON||Rail Coal Connectivity Project - IRCON,"82,90,23,372"
